,region_1,region_2,winery_name,Location1,Location2,Latitude,Longitude
3906,Eola-Amity Hills,Willamette Valley,Soléna winery,Soléna winery Eola-Amity Hills,Soléna winery Willamette Valley,45.33953409999999,-123.1275546
3907,Sonoma County,Sonoma,Wattle Creek winery,Wattle Creek winery Sonoma County,Wattle Creek winery Sonoma,38.4621787,-122.8212614
3908,Central Coast,Central Coast,Workman Ayer winery,Workman Ayer winery Central Coast,Workman Ayer winery Central Coast,35.5574763,-120.700766
3909,Russian River Valley,Sonoma,Gamba winery,Gamba winery Russian River Valley,Gamba winery Sonoma,38.48477159999999,-122.7968729
3910,Marin County,North Coast,Dutton-Goldfield winery,Dutton-Goldfield winery Marin County,Dutton-Goldfield winery North Coast,38.43728979999999,-122.8583333
3911,Sonoma County-Monterey County,California Other,Ghost Pines winery,Ghost Pines winery Sonoma County-Monterey County,Ghost Pines winery California Other,38.29310450000001,-122.4592436
3912,Chehalem Mountains,Willamette Valley,Elk Cove winery,Elk Cove winery Chehalem Mountains,Elk Cove winery Willamette Valley,45.4152778,-123.1852778
3913,Paso Robles,Central Coast,Waterloo winery,Waterloo winery Paso Robles,Waterloo winery Central Coast,35.629625,-120.691259
3914,Monterey,Central Coast,Diora winery,Diora winery Monterey,Diora winery Central Coast,36.1475072,-121.1006615
3915,Washington,Washington Other,Board Track Racer winery,Board Track Racer winery Washington,Board Track Racer winery Washington Other,47.76932619999999,-122.1503365
3916,Rattlesnake Hills,Columbia Valley,Hyatt winery,Hyatt winery Rattlesnake Hills,Hyatt winery Columbia Valley,46.4447215,-120.283143
3917,Sonoma Coast,Sonoma,La Pitchoune winery,La Pitchoune winery Sonoma Coast,La Pitchoune winery Sonoma,38.32503210000001,-123.0394037
3918,Horse Heaven Hills,Columbia Valley,L'Ecole No. 41 winery,L'Ecole No. 41 winery Horse Heaven Hills,L'Ecole No. 41 winery Columbia Valley,46.0568338,-118.5813226
3919,Clarksburg,Central Valley,Sand Point winery,Sand Point winery Clarksburg,Sand Point winery Central Valley,38.4330579,-121.5277805
3920,Ancient Lakes,Columbia Valley,Tempus Cellars winery,Tempus Cellars winery Ancient Lakes,Tempus Cellars winery Columbia Valley,46.09191819999999,-118.2715797
3921,North Fork of Long Island,Long Island,Clovis Point winery,Clovis Point winery North Fork of Long Island,Clovis Point winery Long Island,40.9572248,-72.5721741
3922,Carneros,Napa-Sonoma,Apsara winery,Apsara winery Carneros,Apsara winery Napa-Sonoma,41.4112216,-81.3530639
3923,Sonoma Coast,Sonoma,Director's Cut winery,Director's Cut winery Sonoma Coast,Director's Cut winery Sonoma,38.32503210000001,-123.0394037
3924,California,California Other,Our Daily Red winery,Our Daily Red winery California,Our Daily Red winery California Other,42.4401941,-83.4373425
3925,Sonoma County,Sonoma,Naggiar winery,Naggiar winery Sonoma County,Naggiar winery Sonoma,39.0571791,-121.1865826
3926,Napa Valley,Napa,Venture Wines winery,Venture Wines winery Napa Valley,Venture Wines winery Napa,38.3011419,-122.2872268
3927,Happy Canyon of Santa Barbara,Central Coast,Foxen winery,Foxen winery Happy Canyon of Santa Barbara,Foxen winery Central Coast,34.4206415,-119.6994278
3928,Napa Valley,Napa,Bacio Divino winery,Bacio Divino winery Napa Valley,Bacio Divino winery Napa,42.4886322,-83.47896569999999
3929,Alexander Valley,Sonoma,Dewitt winery,Dewitt winery Alexander Valley,Dewitt winery Sonoma,38.65647209999999,-122.7869114
3930,Napa Valley,Napa,Chiarello Family Vineyards winery,Chiarello Family Vineyards winery Napa Valley,Chiarello Family Vineyards winery Napa,38.4020298,-122.3624169
3931,Napa Valley,Napa,Previous winery,Previous winery Napa Valley,Previous winery Napa,38.25552,-122.3513889
3932,Santa Ynez Valley,Central Coast,Roblar winery,Roblar winery Santa Ynez Valley,Roblar winery Central Coast,34.649867,-120.0963522
3933,Russian River Valley,Sonoma,Sedition winery,Sedition winery Russian River Valley,Sedition winery Sonoma,38.4836416,-122.8175328
3934,Paso Robles,Central Coast,Halter Ranch winery,Halter Ranch winery Paso Robles,Halter Ranch winery Central Coast,35.6394216,-120.8545096
3935,Dry Creek Valley,Sonoma,JCK Wine Company winery,JCK Wine Company winery Dry Creek Valley,JCK Wine Company winery Sonoma,42.4401941,-83.4373425
3936,Dry Creek Valley,Sonoma,Kenwood winery,Kenwood winery Dry Creek Valley,Kenwood winery Sonoma,38.416739,-122.543335
3937,Santa Cruz Mountains,Central Coast,Martin Ray winery,Martin Ray winery Santa Cruz Mountains,Martin Ray winery Central Coast,38.4685612,-122.8507515
3938,California,California Other,Vision Cellars winery,Vision Cellars winery California,Vision Cellars winery California Other,38.2230816,-122.2631007
3939,Walla Walla Valley (WA),Columbia Valley,Foundry Vineyards winery,Foundry Vineyards winery Walla Walla Valley (WA),Foundry Vineyards winery Columbia Valley,46.06321670000001,-118.3564082
3940,Santa Barbara County,Central Coast,Addamo winery,Addamo winery Santa Barbara County,Addamo winery Central Coast,34.9217376,-120.4543501
3941,Sta. Rita Hills,Central Coast,Carr winery,Carr winery Sta. Rita Hills,Carr winery Central Coast,34.6115233,-120.0807684
3942,Columbia Gorge (WA),Washington Other,Sineann winery,Sineann winery Columbia Gorge (WA),Sineann winery Washington Other,45.24562239999999,-122.8879581
3943,Santa Ynez Valley,Central Coast,Lucas & Lewellen winery,Lucas & Lewellen winery Santa Ynez Valley,Lucas & Lewellen winery Central Coast,34.5954312,-120.1401683
3944,Columbia Valley (WA),Columbia Valley,Mercer Canyons winery,Mercer Canyons winery Columbia Valley (WA),Mercer Canyons winery Columbia Valley,46.2200407,-119.7255732
3945,Edna Valley,Central Coast,Niner winery,Niner winery Edna Valley,Niner winery Central Coast,35.5706343,-120.7420291
3946,Columbia Valley (WA),Columbia Valley,North by Northwest winery,North by Northwest winery Columbia Valley (WA),North by Northwest winery Columbia Valley,46.27599319999999,-119.4539183
3947,Santa Barbara County,Central Coast,Pace winery,Pace winery Santa Barbara County,Pace winery Central Coast,34.5942543,-120.1390506
3948,Napa Valley,Napa,Vinoce winery,Vinoce winery Napa Valley,Vinoce winery Napa,38.2859369,-122.2863383
3949,Willamette Valley,Willamette Valley,Lachini winery,Lachini winery Willamette Valley,Lachini winery Willamette Valley,47.7314309,-122.1419909
3950,Russian River Valley,Sonoma,Papapietro Perry winery,Papapietro Perry winery Russian River Valley,Papapietro Perry winery Sonoma,38.6729543,-122.9347884
3951,Willamette Valley,Willamette Valley,Van Duzer winery,Van Duzer winery Willamette Valley,Van Duzer winery Willamette Valley,44.9858025,-123.2786768
3952,Paso Robles,Central Coast,Austerity winery,Austerity winery Paso Robles,Austerity winery Central Coast,35.6474086,-120.6704971
3953,Napa County,Napa,Oberon winery,Oberon winery Napa County,Oberon winery Napa,38.2222053,-122.2658226
3954,Yakima Valley,Columbia Valley,Eight Bells winery,Eight Bells winery Yakima Valley,Eight Bells winery Columbia Valley,47.6736979,-122.317758
3955,Santa Maria Valley,Central Coast,Epiphany winery,Epiphany winery Santa Maria Valley,Epiphany winery Central Coast,34.6669685,-120.1148111
3956,Russian River Valley,Sonoma,Holdredge winery,Holdredge winery Russian River Valley,Holdredge winery Sonoma,38.6059581,-122.8620309
3957,Humboldt County,North Coast,Joseph Jewell winery,Joseph Jewell winery Humboldt County,Joseph Jewell winery North Coast,38.4735164,-122.8910325
3958,Sta. Rita Hills,Central Coast,Samuel Louis Smith winery,Samuel Louis Smith winery Sta. Rita Hills,Samuel Louis Smith winery Central Coast,34.6659474,-120.1151818
3959,Santa Lucia Highlands,Central Coast,Silver Mountain winery,Silver Mountain winery Santa Lucia Highlands,Silver Mountain winery Central Coast,36.9588919,-122.047382
3960,Napa Valley,Napa,Cornerstone winery,Cornerstone winery Napa Valley,Cornerstone winery Napa,38.401169,-122.3605001
3961,Oakville,Napa,Goldschmidt winery,Goldschmidt winery Oakville,Goldschmidt winery Napa,38.6719781,-122.9342009
3962,Knights Valley,Sonoma,Hensteeth winery,Hensteeth winery Knights Valley,Hensteeth winery Sonoma,53.3367333,-6.2750906
3963,Sonoma Coast,Sonoma,Joseph Carr winery,Joseph Carr winery Sonoma Coast,Joseph Carr winery Sonoma,38.32503210000001,-123.0394037
3964,Horse Heaven Hills,Columbia Valley,Julia's Dazzle winery,Julia's Dazzle winery Horse Heaven Hills,Julia's Dazzle winery Columbia Valley,43.7618255,-87.7858207
3965,Columbia Valley (WA),Columbia Valley,Diversion winery,Diversion winery Columbia Valley (WA),Diversion winery Columbia Valley,46.2125739,-119.1102397
3966,Alexander Valley,Sonoma,G. Reedy winery,G. Reedy winery Alexander Valley,G. Reedy winery Sonoma,38.6926557,-122.8229044
3967,Chehalem Mountains,Willamette Valley,Archer winery,Archer winery Chehalem Mountains,Archer winery Willamette Valley,45.314581,-122.9096222
3968,Green Valley,Sonoma,Roadhouse Winery winery,Roadhouse Winery winery Green Valley,Roadhouse Winery winery Sonoma,38.6102457,-122.8690388
3969,California,California Other,Save Me San Francisco winery,Save Me San Francisco winery California,Save Me San Francisco winery California Other,37.7862959,-122.4115414
3970,California,California Other,Prophecy winery,Prophecy winery California,Prophecy winery California Other,38.2222053,-122.2658226
3971,Central Coast,Central Coast,Tortoise Creek winery,Tortoise Creek winery Central Coast,Tortoise Creek winery Central Coast,41.8887712,-87.6284826
3972,Yakima Valley,Columbia Valley,Lobo Hills winery,Lobo Hills winery Yakima Valley,Lobo Hills winery Columbia Valley,47.7619067,-122.1498691
3973,Napa Valley,Napa,Tres Sabores winery,Tres Sabores winery Napa Valley,Tres Sabores winery Napa,38.46231969999999,-122.4451902
3974,Lodi,Central Valley,Zinderella winery,Zinderella winery Lodi,Zinderella winery Central Valley,38.1154818,-121.2430146
3975,Red Mountain,Columbia Valley,Januik winery,Januik winery Red Mountain,Januik winery Columbia Valley,47.7353849,-122.1534983
3976,Santa Ynez Valley,Central Coast,Stolpman winery,Stolpman winery Santa Ynez Valley,Stolpman winery Central Coast,34.665366,-120.1142782
3977,Oregon,Oregon Other,Battle Creek winery,Battle Creek winery Oregon,Battle Creek winery Oregon Other,45.52880589999999,-122.6842051
3978,Alexander Valley,Sonoma,Hanna winery,Hanna winery Alexander Valley,Hanna winery Sonoma,38.6516484,-122.779206
3979,Carneros,Napa-Sonoma,Highway 12 winery,Highway 12 winery Carneros,Highway 12 winery Napa-Sonoma,38.2911216,-122.4574088
3980,Santa Lucia Highlands,Central Coast,Solitary Cellars winery,Solitary Cellars winery Santa Lucia Highlands,Solitary Cellars winery Central Coast,36.9445974,-119.731044
3981,Willamette Valley,Willamette Valley,Twill winery,Twill winery Willamette Valley,Twill winery Willamette Valley,45.3623604,-122.6864533
3982,Chehalem Mountains,Willamette Valley,A Blooming Hill Vineyard winery,A Blooming Hill Vineyard winery Chehalem Mountains,A Blooming Hill Vineyard winery Willamette Valley,45.4824913,-123.073553
3983,Alexander Valley,Sonoma,Armida winery,Armida winery Alexander Valley,Armida winery Sonoma,38.5885292,-122.8805448
3984,Eola-Amity Hills,Willamette Valley,Cherry Hill winery,Cherry Hill winery Eola-Amity Hills,Cherry Hill winery Willamette Valley,44.9977684,-123.1856044
3985,Russian River Valley,Sonoma,Lawer winery,Lawer winery Russian River Valley,Lawer winery Sonoma,38.4836416,-122.8175328
3986,California,California Other,Martin Ray winery,Martin Ray winery California,Martin Ray winery California Other,38.4685612,-122.8507515
3987,Howell Mountain,Napa,Piña winery,Piña winery Howell Mountain,Piña winery Napa,38.4670655,-122.3780446
3988,Happy Canyon of Santa Barbara,Central Coast,Jamie Slone Wines winery,Jamie Slone Wines winery Happy Canyon of Santa Barbara,Jamie Slone Wines winery Central Coast,34.4204375,-119.69892
3989,Sonoma Coast,Sonoma,Red Car winery,Red Car winery Sonoma Coast,Red Car winery Sonoma,38.437183,-122.85873
3990,Santa Ynez Valley,Central Coast,Rideau winery,Rideau winery Santa Ynez Valley,Rideau winery Central Coast,34.628281,-120.114814
3991,Lodi,Central Valley,Meadowcroft winery,Meadowcroft winery Lodi,Meadowcroft winery Central Valley,38.2277868,-122.4576173
3992,Shenandoah Valley (CA),Sierra Foothills,Noceto winery,Noceto winery Shenandoah Valley (CA),Noceto winery Sierra Foothills,38.5215699,-120.8204203
3993,Sonoma County,Sonoma,Burnside Road winery,Burnside Road winery Sonoma County,Burnside Road winery Sonoma,38.3591528,-122.8726137
3994,Paso Robles,Central Coast,Sarzotti winery,Sarzotti winery Paso Robles,Sarzotti winery Central Coast,35.5540996,-120.6056852
3995,Napa Valley,Napa,Napa Creek winery,Napa Creek winery Napa Valley,Napa Creek winery Napa,38.298546,-122.287149
3996,California,California Other,Zin 91 winery,Zin 91 winery California,Zin 91 winery California Other,35.5560578,-120.7588305
3997,California,California Other,Donovan-Parke winery,Donovan-Parke winery California,Donovan-Parke winery California Other,34.742742,-120.11879
3998,Sonoma Coast,Sonoma,Kastania winery,Kastania winery Sonoma Coast,Kastania winery Sonoma,38.32503210000001,-123.0394037
3999,Monterey,Central Coast,Bianchi winery,Bianchi winery Monterey,Bianchi winery Central Coast,35.6501868,-120.5772404
4000,Los Carneros,Napa-Sonoma,Vie Winery winery,Vie Winery winery Los Carneros,Vie Winery winery Napa-Sonoma,37.81829200000001,-122.366839
4001,Dry Creek Valley,Sonoma,Forth winery,Forth winery Dry Creek Valley,Forth winery Sonoma,38.6104658,-122.8691609
4002,Columbia Valley (WA),Columbia Valley,Feather winery,Feather winery Columbia Valley (WA),Feather winery Columbia Valley,46.2206143,-119.7311329
4003,Lodi,Central Valley,Castle Rock winery,Castle Rock winery Lodi,Castle Rock winery Central Valley,38.1459966,-121.3077252
4004,Russian River Valley,Sonoma,C&T; winery,C&T; winery Russian River Valley,C&T; winery Sonoma,38.4991304,-122.8321048
4005,Napa Valley,Napa,Sodaro winery,Sodaro winery Napa Valley,Sodaro winery Napa,38.3149002,-122.2333721
4006,Santa Cruz Mountains,Central Coast,Folkway winery,Folkway winery Santa Cruz Mountains,Folkway winery Central Coast,37.123851,-121.926872
4007,Shenandoah Valley (CA),Sierra Foothills,C.G. di Arie winery,C.G. di Arie winery Shenandoah Valley (CA),C.G. di Arie winery Sierra Foothills,38.5677955,-120.7723237
4008,Santa Clara County,Central Coast,Castillo's Hillside Shire winery,Castillo's Hillside Shire winery Santa Clara County,Castillo's Hillside Shire winery Central Coast,37.1534324,-121.6230911
4009,North Fork of Long Island,Long Island,Sannino winery,Sannino winery North Fork of Long Island,Sannino winery Long Island,41.0168094,-72.5100779
4010,Yakima Valley,Columbia Valley,Original House Wine winery,Original House Wine winery Yakima Valley,Original House Wine winery Columbia Valley,46.49522229999999,-120.4196184
4011,Sonoma Valley,Sonoma,Parmeson winery,Parmeson winery Sonoma Valley,Parmeson winery Sonoma,38.2917255,-122.4568726
4012,Paso Robles,Central Coast,B&E; winery,B&E; winery Paso Robles,B&E; winery Central Coast,35.549149,-120.529065
4013,Santa Lucia Highlands,Central Coast,August West winery,August West winery Santa Lucia Highlands,August West winery Central Coast,37.740576,-122.4044887
4014,Napa Valley,Napa,Voss winery,Voss winery Napa Valley,Voss winery Napa,38.2230964,-122.2630874
4015,California,California Other,Hawks View winery,Hawks View winery California,Hawks View winery California Other,45.3740384,-122.88371
4016,Yakima Valley,Columbia Valley,Ashan winery,Ashan winery Yakima Valley,Ashan winery Columbia Valley,46.5578827,-120.6608625
4017,Washington,Washington Other,Lauren Ashton Cellars winery,Lauren Ashton Cellars winery Washington,Lauren Ashton Cellars winery Washington Other,47.7336941,-122.1427634
4018,Red Mountain,Columbia Valley,L'Ecole No. 41 winery,L'Ecole No. 41 winery Red Mountain,L'Ecole No. 41 winery Columbia Valley,46.0568338,-118.5813226
4019,Stags Leap District,Napa,Malk winery,Malk winery Stags Leap District,Malk winery Napa,42.4912244,-83.47030579999999
4020,Calaveras County,Sierra Foothills,Calavera Wines winery,Calavera Wines winery Calaveras County,Calavera Wines winery Sierra Foothills,38.1374039,-120.4595488
4021,Wahluke Slope,Columbia Valley,Maryhill winery,Maryhill winery Wahluke Slope,Maryhill winery Columbia Valley,45.67197760000001,-120.8816559
4022,Monterey County,Central Coast,Robert Mondavi winery,Robert Mondavi winery Monterey County,Robert Mondavi winery Central Coast,38.4414728,-122.4100923
4023,Wahluke Slope,Columbia Valley,Columbia Winery winery,Columbia Winery winery Wahluke Slope,Columbia Winery winery Columbia Valley,46.7498928,-119.8342096
4024,Paso Robles,Central Coast,Croma Vera winery,Croma Vera winery Paso Robles,Croma Vera winery Central Coast,35.2548717,-120.6451701
4025,Columbia Valley (WA),Columbia Valley,Karma Vineyards winery,Karma Vineyards winery Columbia Valley (WA),Karma Vineyards winery Columbia Valley,47.8476968,-120.1151063
4026,Willamette Valley,Willamette Valley,Love & Squalor winery,Love & Squalor winery Willamette Valley,Love & Squalor winery Willamette Valley,45.4994773,-122.6115539
4027,Lodi,Central Valley,Brazin winery,Brazin winery Lodi,Brazin winery Central Valley,38.1143472,-121.3200378
4028,Arroyo Seco,Central Coast,De Tierra winery,De Tierra winery Arroyo Seco,De Tierra winery Central Coast,36.55663699999999,-121.9208573
4029,Sonoma County,Sonoma,Q winery,Q winery Sonoma County,Q winery Sonoma,38.4787228,-122.7408096
4030,Santa Ynez Valley,Central Coast,Rusack winery,Rusack winery Santa Ynez Valley,Rusack winery Central Coast,34.6376436,-120.1418336
4031,Napa Valley,Napa,Sea Fog winery,Sea Fog winery Napa Valley,Sea Fog winery Napa,38.4270935,-122.8430707
4032,Sonoma Coast,Sonoma,Sebastiani winery,Sebastiani winery Sonoma Coast,Sebastiani winery Sonoma,38.2932328,-122.4494086
4033,El Dorado,Sierra Foothills,Perry Creek winery,Perry Creek winery El Dorado,Perry Creek winery Sierra Foothills,38.6095104,-120.6575732
4034,Santa Ynez Valley,Central Coast,Martellotto winery,Martellotto winery Santa Ynez Valley,Martellotto winery Central Coast,34.6256505,-120.1853456
4035,Napa Valley,Napa,Saddleback winery,Saddleback winery Napa Valley,Saddleback winery Napa,38.4493831,-122.3884915
4036,Napa Valley,Napa,Snowden winery,Snowden winery Napa Valley,Snowden winery Napa,38.5068928,-122.4707151
4037,Monterey,Central Coast,La Merika winery,La Merika winery Monterey,La Merika winery Central Coast,36.6164856,-121.900124
4038,Central Coast,Central Coast,Fernwood winery,Fernwood winery Central Coast,Fernwood winery Central Coast,37.0436903,-121.7189687
4039,Santa Lucia Highlands,Central Coast,Sheldon winery,Sheldon winery Santa Lucia Highlands,Sheldon winery Central Coast,36.3644768,-80.768591
4040,Santa Barbara County,Central Coast,Deep Sea winery,Deep Sea winery Santa Barbara County,Deep Sea winery Central Coast,34.40998039999999,-119.6856473
4041,Sonoma County,Sonoma,Captûre winery,Captûre winery Sonoma County,Captûre winery Sonoma,38.4021359,-122.8238806
4042,Willamette Valley,Willamette Valley,Tyee winery,Tyee winery Willamette Valley,Tyee winery Willamette Valley,44.458417,-123.323498
4043,Napa Valley,Napa,Ladera winery,Ladera winery Napa Valley,Ladera winery Napa,38.56297929999999,-122.510445
4044,Lodi,Central Valley,LVVR winery,LVVR winery Lodi,LVVR winery Central Valley,38.136574,-121.1961375
4045,Lodi,Central Valley,Maggio winery,Maggio winery Lodi,Maggio winery Central Valley,38.13655079999999,-121.2415325
4046,Columbia Valley (WA),Columbia Valley,Original House Wine winery,Original House Wine winery Columbia Valley (WA),Original House Wine winery Columbia Valley,46.2532833,-119.2968118
4047,Russian River Valley,Sonoma,Gann winery,Gann winery Russian River Valley,Gann winery Sonoma,38.4836416,-122.8175328
4048,Columbia Valley (WA),Columbia Valley,Bookwalter winery,Bookwalter winery Columbia Valley (WA),Bookwalter winery Columbia Valley,46.2532833,-119.2968118
4049,Yakima Valley,Columbia Valley,Apex winery,Apex winery Yakima Valley,Apex winery Columbia Valley,46.2186415,-119.7762799
4050,Napa Valley,Napa,Crauford winery,Crauford winery Napa Valley,Crauford winery Napa,38.525759,-122.515798
4051,New York,New York Other,Hudson-Chatham winery,Hudson-Chatham winery New York,Hudson-Chatham winery New York Other,42.3108802,-73.6417505
4052,Columbia Valley (WA),Columbia Valley,Marshall Davis winery,Marshall Davis winery Columbia Valley (WA),Marshall Davis winery Columbia Valley,45.2943078,-123.1775397
4053,Napa Valley,Napa,Spottswoode winery,Spottswoode winery Napa Valley,Spottswoode winery Napa,38.50001109999999,-122.4787297
4054,Sta. Rita Hills,Central Coast,Ken Brown winery,Ken Brown winery Sta. Rita Hills,Ken Brown winery Central Coast,34.614861,-120.1963508
4055,Chehalem Mountains,Willamette Valley,Le Cadeau winery,Le Cadeau winery Chehalem Mountains,Le Cadeau winery Willamette Valley,45.2725028,-123.0161155
4056,Rockpile,Sonoma,Mazzocco winery,Mazzocco winery Rockpile,Mazzocco winery Sonoma,38.65663199999999,-122.8980217
4057,El Dorado,Sierra Foothills,Baiocchi Wines winery,Baiocchi Wines winery El Dorado,Baiocchi Wines winery Sierra Foothills,38.3945426,-120.8029808
4058,Oak Knoll District,Napa,Wonderment Wines winery,Wonderment Wines winery Oak Knoll District,Wonderment Wines winery Napa,38.3491752,-122.303323
4059,Finger Lakes,Finger Lakes,Three Brothers winery,Three Brothers winery Finger Lakes,Three Brothers winery Finger Lakes,42.8231619,-76.92305120000002
4060,Sonoma County,Sonoma,Carte Blanche winery,Carte Blanche winery Sonoma County,Carte Blanche winery Sonoma,38.32503210000001,-123.0394037
4061,Napa Valley,Napa,Château Potelle winery,Château Potelle winery Napa Valley,Château Potelle winery Napa,38.4979466,-122.4598778
4062,Santa Cruz Mountains,Central Coast,Loma Prieta winery,Loma Prieta winery Santa Cruz Mountains,Loma Prieta winery Central Coast,37.10630099999999,-121.8804075
4063,Los Carneros,Napa-Sonoma,Talisman winery,Talisman winery Los Carneros,Talisman winery Napa-Sonoma,38.3635525,-122.5242898
4064,Columbia Valley (WA),Columbia Valley,Va Piano Bruno's Blend II winery,Va Piano Bruno's Blend II winery Columbia Valley (WA),Va Piano Bruno's Blend II winery Columbia Valley,46.003999,-118.371124
4065,Walla Walla Valley (WA),Columbia Valley,Patit Creek Cellars winery,Patit Creek Cellars winery Walla Walla Valley (WA),Patit Creek Cellars winery Columbia Valley,46.0901588,-118.2794269
4066,Columbia Valley (WA),Columbia Valley,Stella Fino winery,Stella Fino winery Columbia Valley (WA),Stella Fino winery Columbia Valley,49.05458669999999,-119.4976749
4067,Sonoma County,Sonoma,Hidden Ridge winery,Hidden Ridge winery Sonoma County,Hidden Ridge winery Sonoma,38.5183205,-122.5872929
4068,Santa Barbara County,Central Coast,Twomey winery,Twomey winery Santa Barbara County,Twomey winery Central Coast,38.565991,-122.5570216
4069,Walla Walla Valley (WA),Columbia Valley,Tranche winery,Tranche winery Walla Walla Valley (WA),Tranche winery Columbia Valley,46.061153,-118.2889323
4070,Napa Valley,Napa,Kale winery,Kale winery Napa Valley,Kale winery Napa,38.3997664,-122.3588842
4071,Napa Valley,Napa,Vine Cliff winery,Vine Cliff winery Napa Valley,Vine Cliff winery Napa,38.4471288,-122.3505424
4072,Mount Veeder,Napa,Château Potelle winery,Château Potelle winery Mount Veeder,Château Potelle winery Napa,38.4979466,-122.4598778
4073,Dry Creek Valley,Sonoma,Ferrari-Carano winery,Ferrari-Carano winery Dry Creek Valley,Ferrari-Carano winery Sonoma,38.7113931,-122.9782966
4074,Yolo County,Central Valley,Rosa d'Oro winery,Rosa d'Oro winery Yolo County,Rosa d'Oro winery Central Valley,38.9813187,-122.8539492
4075,Willamette Valley,Willamette Valley,Stone Wolf winery,Stone Wolf winery Willamette Valley,Stone Wolf winery Willamette Valley,45.2902083,-122.9995339
4076,Santa Barbara County,Central Coast,Babcock winery,Babcock winery Santa Barbara County,Babcock winery Central Coast,34.66738,-120.33492
4077,Sonoma County,Sonoma,Piper Sonoma winery,Piper Sonoma winery Sonoma County,Piper Sonoma winery Sonoma,38.29310450000001,-122.4592436
4078,Central Coast,Central Coast,Big House winery,Big House winery Central Coast,Big House winery Central Coast,42.5628013,-83.1664194
4079,Alexander Valley,Sonoma,Spann Vineyards winery,Spann Vineyards winery Alexander Valley,Spann Vineyards winery Sonoma,38.65647209999999,-122.7869114
4080,Paso Robles,Central Coast,Estancia winery,Estancia winery Paso Robles,Estancia winery Central Coast,35.6462671,-120.6305511
4081,California,California Other,Heron winery,Heron winery California,Heron winery California Other,37.8000818,-122.4406198
4082,California,California Other,Paripaso winery,Paripaso winery California,Paripaso winery California Other,35.6589277,-120.5959206
4083,Rockpile,Sonoma,Bruliam winery,Bruliam winery Rockpile,Bruliam winery Sonoma,38.5301959,-122.8003185
4084,California,California Other,Wolfgang Puck winery,Wolfgang Puck winery California,Wolfgang Puck winery California Other,34.0865944,-118.4463506
4085,California,California Other,Pasorina winery,Pasorina winery California,Pasorina winery California Other,35.6509846,-120.7414232
4086,Washington,Washington Other,Pine & Post winery,Pine & Post winery Washington,Pine & Post winery Washington Other,47.6105066,-122.3424647
4087,Columbia Valley (WA),Columbia Valley,Six Prong winery,Six Prong winery Columbia Valley (WA),Six Prong winery Columbia Valley,46.2355056,-119.3478788
4088,Carneros,Napa-Sonoma,Cattleya winery,Cattleya winery Carneros,Cattleya winery Napa-Sonoma,38.3548211,-122.7259732
4089,Sonoma County,Sonoma,Sonoma Vineyards winery,Sonoma Vineyards winery Sonoma County,Sonoma Vineyards winery Sonoma,38.29310450000001,-122.4592436
4090,Russian River Valley,Sonoma,Starry Night winery,Starry Night winery Russian River Valley,Starry Night winery Sonoma,38.0729839,-122.5377232
4091,Southern Oregon,Southern Oregon,Foris winery,Foris winery Southern Oregon,Foris winery Southern Oregon,42.118373,-123.550604
4092,Santa Barbara County,Central Coast,Fire and Oak winery,Fire and Oak winery Santa Barbara County,Fire and Oak winery Central Coast,41.0544736,-74.06938989999999
4093,Fair Play,Sierra Foothills,Baiocchi Wines winery,Baiocchi Wines winery Fair Play,Baiocchi Wines winery Sierra Foothills,38.3945426,-120.8029808
4094,Sonoma County,Sonoma,Alterra winery,Alterra winery Sonoma County,Alterra winery Sonoma,42.6202492,-83.0439016
4095,California,California Other,Eye Candy winery,Eye Candy winery California,Eye Candy winery California Other,42.5176524,-83.3390696
4096,North Coast,North Coast,Lola winery,Lola winery North Coast,Lola winery North Coast,38.5747589,-122.5786223
4097,California,California Other,Cooper Station winery,Cooper Station winery California,Cooper Station winery California Other,38.5187697,-120.8022922
4098,Paso Robles,Central Coast,Inkling winery,Inkling winery Paso Robles,Inkling winery Central Coast,35.6450805,-120.6728128
4099,California,California Other,Pessimist winery,Pessimist winery California,Pessimist winery California Other,35.6412775,-120.7843305
4100,California,California Other,Four Paws & A Tail winery,Four Paws & A Tail winery California,Four Paws & A Tail winery California Other,38.2205371,-122.2718786
4101,Napa Valley,Napa,Herzog winery,Herzog winery Napa Valley,Herzog winery Napa,38.4051323,-122.3738937
4102,Napa Valley,Napa,Maisonry winery,Maisonry winery Napa Valley,Maisonry winery Napa,38.40561,-122.3667641
4103,Chiles Valley,Napa,RustRidge winery,RustRidge winery Chiles Valley,RustRidge winery Napa,38.5284671,-122.3181194
4104,Amador County,Sierra Foothills,Shenandoah winery,Shenandoah winery Amador County,Shenandoah winery Sierra Foothills,38.5368104,-120.7927216
4105,Diamond Mountain District,Napa,Reverie winery,Reverie winery Diamond Mountain District,Reverie winery Napa,38.5612614,-122.4967412
4106,Napa Valley,Napa,Valance winery,Valance winery Napa Valley,Valance winery Napa,38.5199367,-122.4901544
4107,Amador County,Sierra Foothills,Yorba winery,Yorba winery Amador County,Yorba winery Sierra Foothills,38.3948904,-120.8035964
4108,Red Mountain,Columbia Valley,Animale winery,Animale winery Red Mountain,Animale winery Columbia Valley,42.7233615,-76.97690460000001
4109,Santa Ynez Valley,Central Coast,Blair Fox winery,Blair Fox winery Santa Ynez Valley,Blair Fox winery Central Coast,34.6656692,-120.1136064
